Timestamp,GPC_Util_%,MC_Util_%,VRAM_Used_MB,Core_Clock_MHz,Temp_C,Throttle
21:47:53,95,31,1269,2190,86,N/A
21:47:54,95,32,1269,2130,86,N/A
21:47:55,95,32,1269,2160,86,N/A
21:47:56,95,32,1269,2130,86,N/A
21:47:57,95,31,1269,2130,86,N/A
21:47:58,95,31,1269,2130,86,N/A
21:47:59,95,32,1269,2130,86,N/A
21:48:00,95,31,1269,2130,86,N/A
21:48:01,95,31,1269,2145,86,N/A
21:48:02,95,31,1269,2130,86,N/A
21:48:03,95,31,1269,2130,86,N/A
21:48:04,95,31,1269,2145,86,N/A
21:48:05,95,31,1269,2130,86,N/A
21:48:06,95,34,1269,2295,88,N/A
21:48:07,95,31,1269,2130,86,N/A
21:48:08,95,32,1269,2130,86,N/A
21:48:09,95,31,1269,2130,86,N/A
21:48:10,95,31,1269,2145,86,N/A
21:48:11,94,34,1271,2130,87,N/A
21:48:12,95,34,1271,2115,86,N/A
21:48:13,95,34,1271,2145,86,N/A
21:48:14,95,34,1279,2130,87,N/A
21:48:15,6,1,1498,2625,79,N/A
21:48:16,87,19,1815,1170,79,N/A
21:48:17,92,39,1843,2190,86,N/A
21:48:18,89,33,2017,2190,88,N/A
21:48:19,93,34,2102,2190,87,N/A
21:48:20,95,35,2223,2160,85,N/A
21:48:21,95,41,2482,2160,87,N/A
21:48:22,89,35,2486,2085,87,N/A
21:48:23,92,36,2526,2055,86,N/A
21:48:24,86,31,2527,2325,86,N/A
21:48:25,96,37,2518,2100,86,N/A
21:48:26,94,36,2529,2025,87,N/A
21:48:27,94,34,2529,2160,87,N/A
21:48:28,94,35,2521,2160,87,N/A
21:48:29,93,36,2530,2130,87,N/A
21:48:30,93,35,2531,2115,87,N/A
21:48:31,91,33,2533,2130,87,N/A
21:48:32,90,36,2533,2175,87,N/A
21:48:33,94,38,2534,2160,87,N/A
21:48:34,96,33,2532,2055,86,N/A
21:48:35,95,37,2537,2175,86,N/A
21:48:36,93,36,2535,2040,87,N/A
21:48:37,96,37,2542,2130,87,N/A
21:48:38,95,36,2551,2100,86,N/A
21:48:39,95,36,2532,2085,87,N/A
21:48:40,94,33,2532,2085,87,N/A
21:48:41,89,32,2538,2160,86,N/A
21:48:42,91,35,2550,2115,86,N/A
21:48:43,94,38,2544,2085,86,N/A
21:48:44,92,34,2543,2070,86,N/A
21:48:45,94,37,2543,2070,86,N/A
21:48:46,95,42,2612,2070,86,N/A
21:48:47,96,40,2564,2070,86,N/A
21:48:48,94,36,2556,2340,88,N/A
21:48:49,95,37,2556,2070,86,N/A
21:48:50,94,37,2556,2175,87,N/A
21:48:51,93,38,2556,2070,86,N/A
21:48:52,92,37,2556,2160,87,N/A
21:48:53,94,36,2556,2130,87,N/A
21:48:54,93,37,2556,2130,87,N/A
21:48:55,93,37,2556,2085,87,N/A
21:49:04,5,0,269,210,75,N/A
21:49:05,7,0,269,210,74,N/A
21:49:06,5,0,269,210,74,N/A
21:49:07,0,0,269,210,74,N/A
21:49:08,0,0,269,210,73,N/A
21:49:09,0,0,269,210,73,N/A
21:49:10,0,0,269,210,72,N/A
21:49:11,0,0,269,210,72,N/A
21:49:12,0,0,269,210,72,N/A
21:49:13,0,0,269,210,71,N/A
21:49:14,0,0,269,210,71,N/A
21:49:15,0,0,269,210,71,N/A
21:49:16,0,0,269,210,70,N/A
21:49:17,0,0,269,210,70,N/A
21:49:18,0,0,269,210,70,N/A
21:49:19,0,0,269,210,69,N/A
21:40:32,0,6,231,210,45,N/A
21:40:33,0,0,231,210,45,N/A
21:40:34,0,2,231,210,45,N/A
08:07:43,0,0,231,210,49,N/A
